case_id,title,category,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept,severity,next_command,expected_fix,verification,pkt_file
CASE-001,Missing Static Route to Server Network,STATIC_ROUTING,PC can ping the default gateway (192.168.1.1) but cannot reach the server at 192.168.30.10. Traceroute shows the packet is dropped at the router.,"PC1 (192.168.1.10/24) -> SW1 -> R1 (Gi0/0: 192.168.1.1, Gi0/1: 10.0.0.1) -> R2 (Gi0/0: 10.0.0.2, Gi0/1: 192.168.30.1) -> Server1 (192.168.30.10/24)","[show ip route]: Codes: C - connected, S - static, R - RIP Gateway of last resort is not set C 192.168.1.0/24 is directly connected, GigabitEthernet0/0 C 10.0.0.0/30 is directly connected, GigabitEthernet0/1 | [show ip interface brief]: Interface IP-Address OK? Method Status Protocol GigabitEthernet0/0 192.168.1.1 YES manual up up GigabitEthernet0/1 10.0.0.1 YES manual up up",Missing static route to 192.168.30.0/24 via 10.0.0.2,Layer 3,Static Routing,HIGH,show ip route,On R1: ip route 192.168.30.0 255.255.255.0 10.0.0.2 -> Verify: show ip route 192.168.30.0 -> Test: ping 192.168.30.10 from PC1,Post-fix show commands and ICMP echo verification,NetSageAI_Sample_Case_01_InterVLAN_Routing.pkt
CASE-002,Wrong Default Gateway on PC,GATEWAY,PC1 can ping other hosts on the same subnet but cannot reach any other network. PC1 shows default gateway 192.168.20.1 but is in the 192.168.10.0/24 subnet.,"PC1 (192.168.10.20/24, GW: 192.168.20.1) -> SW1 -> R1 (192.168.10.1/24)",[show ip interface brief]: Interface IP-Address OK? Method Status Protocol GigabitEthernet0/0 192.168.10.1 YES manual up up,Default gateway 192.168.20.1 is outside host subnet 192.168.10.0/24,Layer 3,Default Gateway,HIGH,ipconfig /all,Change PC1 default gateway to 192.168.10.1 -> Verify: ipconfig on PC1 -> Test: ping 192.168.10.1 (gateway) -> Test: ping remote host,Post-fix show commands and ICMP echo verification,Lab_Scenario_Verified
CASE-003,Duplicate IP Address Conflict,IP_ADDRESSING,PC1 and PC2 intermittently lose connectivity. ARP conflicts appear. Users report random disconnections on the network.,PC1 (192.168.1.10/24) and PC2 (192.168.1.10/24) both connected to SW1,[show ip interface brief]: Interface IP-Address OK? Method Status Protocol GigabitEthernet0/0 192.168.1.1 YES manual up up,Duplicate IP address 192.168.1.10 assigned to both PC1 and PC2,Layer 3,IP Addressing,HIGH,show ip arp,Identify both devices with 'arp -a' -> Change PC2 IP to 192.168.1.11 -> Verify no duplicate exists -> Test connectivity from both PCs,Post-fix show commands and ICMP echo verification,Lab_Scenario_Verified
CASE-004,Interface Administratively Shut Down,IP_ADDRESSING,PC1 cannot communicate with any device. The switch port connected to R1 Gi0/1 shows no link. The uplink between SW1 and R1 is suspected to be down.,PC1 -> SW1 -> R1 (Gi0/1 shutdown) -> Server1,[show ip interface brief]: Interface IP-Address OK? Method Status Protocol GigabitEthernet0/0 192.168.1.1 YES manual up up GigabitEthernet0/1 10.0.0.1 YES manual administratively down down,Interface GigabitEthernet0/1 is administratively shut down,Layer 1,Interface Status,HIGH,show ip interface brief,On R1: interface GigabitEthernet0/1 -> no shutdown -> Verify: show ip interface brief -> Test connectivity,Post-fix show commands and ICMP echo verification,Lab_Scenario_Verified
CASE-005,VLAN Not Created in VLAN Database,VLAN,PC1 in VLAN 20 (Sales) cannot communicate with PC2 in VLAN 20 on a different switch port. VLAN 20 is not visible in the VLAN database.,PC1 (VLAN 20) -> Fa0/1 -> SW1 -> Fa0/2 -> PC2 (VLAN 20),"[show vlan brief]: VLAN Name Status Ports ---- -------------------------------- --------- ------------------------------- 1 default active Fa0/3, Fa0/4, Fa0/5 1002 fddi-default act/unsup 1003 token-ring-default act/unsup 1004 fddinet-default act/unsup 1005 trnet-default act/unsup | [show ip interface brief]: Interface IP-Address OK? Method Status Protocol Vlan1 192.168.1.1 YES manual up up",VLAN 20 does not exist in the VLAN database,Layer 2,VLAN,HIGH,show vlan brief,SW1(config)# vlan 20 -> SW1(config-vlan)# name Sales -> SW1(config)# interface fa0/1 -> SW1(config-if)# switchport access vlan 20 -> Verify: show vlan brief,Post-fix show commands and ICMP echo verification,Lab_Scenario_Verified
CASE-006,Wrong Subnet Mask on Host,IP_ADDRESSING,PC1 can ping 192.168.1.1 but cannot ping 192.168.1.200. PC1 incorrectly believes 192.168.1.200 is on a different network due to a /25 mask instead of /24.,PC1 (192.168.1.10/25) -> SW1 -> R1 (192.168.1.1/24) -> PC2 (192.168.1.200/24),[show ip interface brief]: Interface IP-Address OK? Method Status Protocol GigabitEthernet0/0 192.168.1.1 YES manual up up,"PC1 has subnet mask /25 instead of /24, causing it to think 192.168.1.200 is on a different network",Layer 3,IP Addressing,MEDIUM,ipconfig /all,Change PC1 subnet mask from 255.255.255.128 to 255.255.255.0 -> Verify IP configuration -> Test: ping 192.168.1.200,Post-fix show commands and ICMP echo verification,Lab_Scenario_Verified
CASE-007,VLAN Not Allowed on Trunk,TRUNKING,Inter-switch communication works for VLAN 1 but not for VLAN 10 (Engineering). VLAN 10 hosts can only ping devices on the same switch.,SW1 (Gi0/1 trunk) <-> (Gi0/1 trunk) SW2; PC1 (VLAN 10) on SW1; PC2 (VLAN 10) on SW2,"[show interfaces trunk]: Port Mode Encapsulation Status Native vlan Gi0/1 on 802.1q trunking 1 Port Vlans allowed on trunk Gi0/1 1-9,11-4094 Port Vlans allowed and active in management domain Gi0/1 1 Port Vlans in spanning tree forwarding state and not pruned Gi0/1 1 | [show vlan brief]: VLAN Name Status Ports ---- -------------------------------- --------- ------------------------------- 1 default active 10 Engineering active Fa0/1",VLAN 10 is not allowed on the trunk link between SW1 and SW2,Layer 2,802.1Q Trunking,HIGH,show interfaces trunk,SW1(config)# interface gi0/1 -> SW1(config-if)# switchport trunk allowed vlan add 10 -> Repeat on SW2 -> Verify: show interfaces trunk,Post-fix show commands and ICMP echo verification,Lab_Scenario_Verified
CASE-008,DHCP Server Not Reachable — APIPA Address,DHCP,PC1 received IP address 169.254.45.32 after connecting to the network. The PC cannot communicate with any other device. DHCP server is located at 192.168.10.254.,PC1 -> SW1 -> R1 -> DHCP Server (192.168.10.254),[show ip dhcp binding]: IP address Client-ID/ Lease expiration Type Hardware address | [show ip interface brief]: Interface IP-Address OK? Method Status Protocol GigabitEthernet0/0 192.168.10.1 YES manual up up,PC1 received APIPA address — DHCP server unreachable,Layer 3,DHCP,HIGH,show ip dhcp binding,"Verify DHCP server is running -> Check DHCP pool: show ip dhcp pool -> If DHCP is on different subnet, configure DHCP relay: ip helper-address 192.168.10.254 -> Release/renew: ipconfig /renew",Post-fix show commands and ICMP echo verification,Lab_Scenario_Verified
CASE-009,DHCP Relay Agent Not Configured,DHCP,PCs in VLAN 20 (192.168.20.0/24) cannot get IP addresses from the DHCP server in VLAN 10 (192.168.10.100). PCs receive APIPA addresses.,"PC1 (VLAN 20) -> SW1 -> R1 (VLAN 10 SVI: 192.168.10.1, VLAN 20 SVI: 192.168.20.1) -> DHCP Server (192.168.10.100)",[show ip interface brief]: Interface IP-Address OK? Method Status Protocol Vlan10 192.168.10.1 YES manual up up Vlan20 192.168.20.1 YES manual up up | [show ip dhcp binding]: IP address Client-ID/ Lease expiration Type,DHCP relay (ip helper-address) not configured on VLAN 20 SVI,Layer 3,DHCP,HIGH,show ip helper-address,R1(config)# interface vlan 20 -> R1(config-if)# ip helper-address 192.168.10.100 -> Verify: show ip helper-address -> Test: ipconfig /renew on PC1,Post-fix show commands and ICMP echo verification,Lab_Scenario_Verified
CASE-010,DNS Resolution Failure — IP Works,DNS,Users can ping server by IP (192.168.30.10) but cannot reach it by name (server1.company.local). Web browser cannot connect to internal websites by name.,PC1 -> R1 -> DNS Server (192.168.1.100) -> Server1 (192.168.30.10),[show ip interface brief]: Interface IP-Address OK? Method Status Protocol GigabitEthernet0/0 192.168.1.1 YES manual up up,DNS server not configured or unreachable — name resolution fails,Layer 7,DNS,MEDIUM,nslookup server1.company.local,Verify DNS server IP on PC1 -> Test: nslookup server1.company.local -> Ping DNS server: ping 192.168.1.100 -> Verify DNS service is running on server -> Configure correct DNS server on PC1 if needed,Post-fix show commands and ICMP echo verification,Lab_Scenario_Verified
CASE-011,ACL Blocking Traffic Between VLANs,ACL,PC1 (192.168.10.0/24) cannot reach servers in 192.168.30.0/24. Ping returns 'destination host unreachable'. Traffic in the opposite direction works fine.,PC1 (192.168.10.0/24) -> R1 (ACL 101 applied inbound on Gi0/0) -> Server1 (192.168.30.0/24),[show access-lists]: Extended IP access list 101 10 deny ip 192.168.10.0 0.0.0.255 192.168.30.0 0.0.0.255 (127 matches) 20 permit ip any any (45 matches) | [show ip interface brief]: Interface IP-Address OK? Method Status Protocol GigabitEthernet0/0 192.168.10.1 YES manual up up,ACL 101 seq 10 explicitly denies traffic from 192.168.10.0 to 192.168.30.0,Layer 4,ACL,HIGH,show access-lists,Review ACL 101 purpose: show access-lists -> If deny is unintentional: no access-list 101 10 -> Add permit: access-list 101 10 permit ip 192.168.10.0 0.0.0.255 192.168.30.0 0.0.0.255 -> Reorder if needed -> Test connectivity,Post-fix show commands and ICMP echo verification,Lab_Scenario_Verified
