case_id,ai_root_cause,ai_confidence,human_decision,final_root_cause,correction_reason,reviewer,timestamp
CASE-001,Router R1 interface Gi0/1 administratively down,0.94,ACCEPTED,Router R1 interface Gi0/1 administratively down,Verified against show ip interface brief and show ip route.,Lead Network Engineer,2026-08-25T10:15:00Z
CASE-002,Default gateway 192.168.20.1 outside subnet 192.168.10.0/24,0.96,ACCEPTED,Default gateway 192.168.20.1 outside subnet 192.168.10.0/24,Verified host configuration against router Gi0/0 IP.,Lead Network Engineer,2026-08-25T10:30:00Z
CASE-003,Interface flapping counter incrementing on switchport,0.72,EDITED,Duplicate static IP address assigned to rogue device conflicting with PC1 ARP entry.,AI prioritized interface flap counter over secondary ARP entry with duplicate MAC address.,Network Operations Specialist,2026-08-25T11:00:00Z
CASE-004,Interface GigabitEthernet0/1 administratively shut down,0.95,ACCEPTED,Interface GigabitEthernet0/1 administratively shut down,Exact match with show ip interface brief.,Senior Network Engineer,2026-08-25T11:30:00Z
CASE-005,VLAN 20 not created in VLAN database,0.93,ACCEPTED,VLAN 20 not created in VLAN database,Confirmed VLAN 20 absent in show vlan brief.,Senior Network Engineer,2026-08-25T12:00:00Z
CASE-006,Native VLAN mismatch on trunk link,0.91,ACCEPTED,Native VLAN mismatch on trunk link,Confirmed mismatch between SW1 (VLAN 1) and SW2 (VLAN 99).,Senior Network Engineer,2026-08-25T12:30:00Z
CASE-007,DHCP server service down on router,0.85,ACCEPTED,DHCP server service down on router,Confirmed 0 DHCP bindings in show ip dhcp binding.,Site Support Tech,2026-08-25T13:00:00Z
CASE-009,Extended ACL 101 blocking TCP port 80 traffic,0.78,EDITED,Missing static route to destination subnet 192.168.30.0/24 on gateway router.,AI flagged ACL deny statement with 0 matches, but routing table had no route to destination network.,Security Engineer,2026-08-25T14:00:00Z
CASE-012,OSPF adjacency failure due to timer mismatch,0.65,REJECTED,Physical MTU mismatch (1500 vs 1400) causing OSPF stuck in EXSTART state.,AI recommended 'ip ospf mtu-ignore', which would mask MTU fragmentation packet drops in production.,Core Network Architect,2026-08-25T15:00:00Z
CASE-018,DHCP pool exhaustion on core router,0.74,EDITED,Access switchport FastEthernet0/5 configured for dead VLAN 99 instead of client VLAN 10.,AI suspected DHCP pool exhaustion, but access switchport was placed in incorrect isolated VLAN.,Site Support Tech,2026-08-25T16:00:00Z
CASE-022,Primary DNS server query timeout,0.68,EDITED,Default gateway route 0.0.0.0/0 missing on Core Switch S1.,AI identified DNS timeout, but root cause is default gateway route missing preventing DNS packets from leaving subnet.,Network Lead,2026-08-25T17:00:00Z
