case_id,title,symptom,topology,show_outputs,expected_fault,osi_layer,concept,severity
CASE-101,PC cannot access server in VLAN 30,PC-1 in VLAN 10 cannot ping Server-1 in VLAN 30. Switch logs indicate VLAN 30 does not exist on Access Switch 2.,PC-1 (192.168.10.10) -> Switch-1 -> Switch-2 -> Server-1 (192.168.30.50),"=== Switch-2 show vlan brief ===
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/1, Fa0/2, Fa0/3, Fa0/4
10   Engineering                      active    Fa0/5, Fa0/6
20   Sales                            active    Fa0/7, Fa0/8

=== Switch-2 show interfaces Fa0/10 switchport ===
Name: Fa0/10
Mode: access
Access Mode VLAN: 30 (inactive)",VLAN 30 is missing from Switch-2 VLAN database causing access port Fa0/10 to be inactive.,Layer 2 (Data Link),VLAN,High
CASE-102,PC1 has wrong default gateway configured,Host PC1 (192.168.1.50) cannot reach external destination 8.8.8.8 or router subinterface.,PC1 (192.168.1.50/24) -> Switch -> Router Fa0/0.1 (192.168.1.1/24),"=== PC1 IP Configuration ===
IP Address: 192.168.1.50
Subnet Mask: 255.255.255.0
Default Gateway: 192.168.2.1

=== Router Fa0/0.1 show ip interface brief ===
Fa0/0.1            192.168.1.1     YES manual up                    up",Default Gateway 192.168.2.1 on PC1 is on a different IP subnet than its IP address 192.168.1.50/24.,Layer 3 (Network),Gateway,High
CASE-103,DHCP clients fail to acquire IP address on remote VLAN,PC in VLAN 20 receives APIPA address (169.254.x.x). DHCP Server is located in VLAN 10 on Router-1.,PC (VLAN 20) -> Switch -> Router-1 Fa0/0.20 (192.168.20.1) -> Router-1 Fa0/0.10 (DHCP Server),"=== Router-1 show running-config interface Fa0/0.20 ===
interface FastEthernet0/0.20
 encapsulation dot1Q 20
 ip address 192.168.20.1 255.255.255.0
!
=== Router-1 show ip dhcp binding ===
(No bindings for 192.168.20.0 pool)",ip helper-address is missing on Router subinterface Fa0/0.20 to relay DHCP requests to DHCP server.,Layer 3 (Network),DHCP,Critical
CASE-104,Host cannot resolve internal domain name web.corp.local,PC can ping server by IP address 10.0.0.50 but HTTP requests to web.corp.local fail with host unknown.,PC1 -> Switch -> Router -> DNS Server (10.0.0.53),"=== PC1 IP Config ===
IP Address: 10.0.10.15
Subnet Mask: 255.255.255.0
Default Gateway: 10.0.10.1
DNS Server: 10.0.0.55

=== Router show ip route 10.0.0.55 ===
Routing table entry for 10.0.0.55/32 not found.","DNS Server IP on PC1 is set to 10.0.0.55, which is invalid/unreachable. Actual DNS Server IP is 10.0.0.53.",Layer 7 (Application),DNS,Medium
CASE-105,Branch Router cannot reach HQ Network via Static Route,Branch-R1 cannot forward traffic to HQ LAN 10.100.0.0/16. Traffic dropped at Branch-R1.,Branch-R1 (Se0/0/0) <---> (Se0/0/0) HQ-R1 -> HQ LAN,"=== Branch-R1 show ip route ===
Codes: C - connected, S - static
Gateway of last resort is not set
192.168.12.0/30 is subnetted, 1 subnets
C    192.168.12.0 is directly connected, Serial0/0/0

=== Branch-R1 show running-config | inc ip route ===
ip route 10.100.0.0 255.255.0.0 192.168.12.6",Static route next-hop IP 192.168.12.6 is wrong. Serial interface IP is 192.168.12.2.,Layer 3 (Network),Routing,High
CASE-106,ACL blocking Web traffic to DMZ Web Server,Clients can ping DMZ Server 172.16.1.100 but TCP port 80 / 443 web connections timeout.,Client -> Router Gi0/0/0 (Inbound ACL) -> DMZ Web Server (172.16.1.100),"=== Router show access-lists ===
Extended IP access list 101_DMZ_FILTER
    10 deny ip any host 172.16.1.100 (482 matches)
    20 permit tcp any host 172.16.1.100 eq www
    30 permit ip any any",ACL rule 10 explicitly denies all IP traffic to host 172.16.1.100 before rule 20 permits TCP port 80.,Layer 4 (Transport),ACL,High
CASE-107,NAT overload fails for Internal LAN clients,Internal LAN hosts (192.168.1.0/24) cannot reach internet IP addresses. Pings timeout at Router WAN interface.,LAN Hosts -> Router Gi0/0/0 (Inside) -> Router Gi0/0/1 (Outside) -> ISP Router,"=== Router show ip nat statistics ===
Total active translations: 0
Outside interfaces: GigabitEthernet0/0/1
Inside interfaces: (none)

=== Router show ip interface brief ===
GigabitEthernet0/0/0     192.168.1.1     YES manual up                    up
GigabitEthernet0/0/1     203.0.113.2     YES manual up                    up",Interface GigabitEthernet0/0/0 is missing the command 'ip nat inside'.,Layer 3 (Network),NAT,Critical
CASE-108,Wireless Laptop cannot connect to WPA2 Enterprise SSID,Laptop fails authentication when joining SSID 'Corp-Secure'. Status stays on 'Authenticating...',Wireless Laptop -> Lightweight AP -> WLC 3504 -> RADIUS Server (10.0.0.254),"=== WLC show radius summary ===
Server Index..................................... 1
Server Address................................... 10.0.0.254
Shared Secret.................................... ******** (Mismatch detected on WLC log: Shared Secret Incorrect)
Port Number...................................... 1812",RADIUS shared secret mismatch between Wireless LAN Controller (WLC) and RADIUS server.,Layer 7 (Application),Wireless,High
CASE-109,Trunk Link Native VLAN Mismatch causes CDP Error,Traffic between Switch-1 and Switch-2 suffers packet loss. Syslog logs '%CDP-4-NATIVE_VLAN_MISMATCH'.,Switch-1 (Gi0/1) <---> (Gi0/1) Switch-2,"=== Switch-1 show interfaces trunk ===
Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      1

=== Switch-2 show interfaces trunk ===
Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      99",Native VLAN mismatch: Switch-1 uses VLAN 1 while Switch-2 uses VLAN 99 on trunk link Gi0/1.,Layer 2 (Data Link),VLAN,Medium
CASE-110,Duplicate IP address configured on Server and Printer,Intermittent network connectivity to Finance Server at 192.168.5.10. ARP table flips between MAC addresses.,Switch-1 -> Server-A (192.168.5.10) & Printer-B (192.168.5.10),"=== Switch-1 show mac address-table | inc 192.168.5.10 ===
Vlan    Mac Address       Type        Ports
---    -----------       --------    -----
 5     0050.56a1.b2c3    DYNAMIC     Fa0/10
 5     0011.2233.4455    DYNAMIC     Fa0/18

=== Syslog Log ===
%IP-4-DUPADDR: Duplicate address 192.168.5.10 on FastEthernet0/10, sourced by 0011.2233.4455",Duplicate IP 192.168.5.10 assigned to both Finance Server (Fa0/10) and Printer (Fa0/18).,Layer 3 (Network),Gateway,High
